SetorEconomico,Subsetor,Empresa,Codigo
Financeiro,Exploração de Imóveis,MENEZES CORT,MNZC
Financeiro,Exploração de Imóveis,MULTIPLAN   ,MULT
Financeiro,Exploração de Imóveis,SAO CARLOS  ,SCAR
Financeiro,Exploração de Imóveis,SYN PROP TEC,SYNE
Financeiro,Exploração de Imóveis,LOPES BRASIL,LPSB
Financeiro,Exploração de Imóveis,NEXPE,NEXP
Financeiro,Holdings Diversificadas,MONT ARANHA ,MOAR
Financeiro,Holdings Diversificadas,PAR AL BAHIA,PEAB
Financeiro,Holdings Diversificadas,SIMPAR,SIMH
Financeiro,Outros Títulos,CEPAC - CTBA,CTBA
Financeiro,Outros Títulos,CEPAC - MCRJ,MCRJ
Financeiro,Outros Títulos,CEPAC - PMSP,PMSP
Outros,Outros,524 PARTICIP,QVQP
Outros,Outros,ATOMPAR,ATOM
Outros,Outros,BETAPART    ,BETP
Outros,Outros,CABINDA PART,CABI
Outros,Outros,CEMEPE      ,MAPT
Outros,Outros,CIMS        ,CMSA
Outros,Outros,GAMA PART   ,OPGM
Outros,Outros,INVEST BEMGE,FIGE
Outros,Outros,POLPAR      ,PPAR
Outros,Outros,PROMPT PART ,PRPT
Outros,Outros,SUDESTE S/A ,OPSE
Outros,Outros,SUL 116 PART,OPTS
Outros,Outros,YBYRA S/A,YBRA
